round,date,home_team,away_team,home_goals,away_goals
7,1974-09-14,Stoke City,Coventry City,2,0
7,1974-09-14,Tottenham Hotspur,West Ham United,2,1
8,1974-09-21,Arsenal,Luton Town,2,2
8,1974-09-21,Carlisle United,Birmingham City,1,0
8,1974-09-21,Coventry City,Everton,1,1
8,1974-09-21,Derby County,Burnley,3,2
8,1974-09-21,Ipswich Town,Chelsea,2,0
8,1974-09-21,Leeds United,Sheffield United,5,1
8,1974-09-21,Liverpool,Stoke City,3,0
8,1974-09-21,Middlesbrough,Manchester City,3,0
8,1974-09-21,Queens Park Rangers,Newcastle United,1,2
8,1974-09-21,West Ham United,Leicester City,6,2
8,1974-09-21,Wolverhampton Wanderers,Tottenham Hotspur,2,3
9,1974-09-24,Carlisle United,Manchester City,0,0
9,1974-09-24,Coventry City,Luton Town,2,1
9,1974-09-24,Ipswich Town,Stoke City,3,1
9,1974-09-24,Liverpool,Burnley,0,1
9,1974-09-24,Queens Park Rangers,Everton,2,2
9,1974-09-24,Wolverhampton Wanderers,Sheffield United,1,1
9,1974-09-25,Derby County,Chelsea,4,1
9,1974-09-25,West Ham United,Birmingham City,3,0
9,1974-12-04,Leeds United,Tottenham Hotspur,2,1
9,1974-12-10,Middlesbrough,Leicester City,3,0
9,1975-04-23,Newcastle United,Arsenal,3,1
10,1974-09-28,Birmingham City,Arsenal,3,1
10,1974-09-28,Burnley,West Ham United,3,5
10,1974-09-28,Chelsea,Wolverhampton Wanderers,0,1
10,1974-09-28,Everton,Leeds United,3,2
10,1974-09-28,Leicester City,Coventry City,0,1
10,1974-09-28,Luton Town,Carlisle United,3,1
10,1974-09-28,Manchester City,Queens Park Rangers,1,0
10,1974-09-28,Newcastle United,Ipswich Town,1,0
10,1974-09-28,Sheffield United,Liverpool,1,0
10,1974-09-28,Stoke City,Derby County,1,1
10,1974-09-28,Tottenham Hotspur,Middlesbrough,1,2
